StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE.DRINKING,HIGH.BLOOD.PRESSURE,BPMED_CrudePrev,CANCER..EXCLUDING.SKIN.CANCER.,ASTHMA,CORONARY.HEART.DISEASE,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION,DIABETES,GENERAL.HEALTH,HIGH.CHOLESTEROL,LPA_CrudePrev,MAMMOUSE_CrudePrev,POOR.MENTAL.HEALTH,OBESITY,POOR.PHYSICAL.HEALTH,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,"MOBILITY_CrudePrev	",SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,Geolocation
LA,Louisiana,Avoyelles,22009,22009030702,3078,2268,14,38,15,50,81,8,13,11,81,83,60,15,28,44,31,20,36,41,43,73,25,49,23,42,7,30,11,12,26,28,10,17,50,POINT (-91.9948106 31.0206639)
LA,Louisiana,Avoyelles,22009,22009030800,2842,2110,10,34,18,42,80,9,11,9,79,86,65,11,22,56,30,14,25,40,34,75,21,42,17,37,5,20,10,7,21,20,5,11,41,POINT (-91.9610574 30.8991173)
LA,Louisiana,Avoyelles,22009,22009030900,2371,1780,12,38,14,51,83,8,12,11,82,85,64,14,26,46,29,20,34,41,42,73,23,48,21,43,7,29,11,11,24,28,9,16,49,POINT (-91.8770596 30.9300228)
LA,Louisiana,Beauregard,22011,22011960101,4027,2992,8,31,20,40,80,9,10,7,79,85,66,8,17,65,29,12,17,39,24,79,19,35,14,34,4,13,8,5,16,14,4,8,34,POINT (-93.080953 30.7889657)
LA,Louisiana,Beauregard,22011,22011960102,2229,1629,11,35,17,43,81,8,11,10,78,82,58,13,26,48,32,16,28,40,35,73,24,41,19,38,5,26,11,8,24,22,7,14,45,POINT (-93.1217816 30.6695087)
LA,Louisiana,Beauregard,22011,22011960200,5084,3809,7,31,20,38,79,9,10,8,79,86,69,8,17,64,28,12,18,39,25,80,19,35,14,34,4,10,8,5,16,15,4,8,34,POINT (-93.3204577 30.8030741)
LA,Louisiana,Beauregard,22011,22011960300,3963,3006,10,34,16,45,82,8,12,9,82,87,66,10,21,53,28,17,26,39,32,79,21,41,17,40,5,20,9,8,20,22,7,12,42,POINT (-93.2771867 30.8508463)
LA,Louisiana,Beauregard,22011,22011960400,3066,2395,10,32,17,43,81,8,11,8,80,86,66,10,21,55,27,16,25,38,31,79,20,39,16,38,5,25,8,7,19,20,6,11,40,POINT (-93.2738376 30.8213141)
LA,Louisiana,Beauregard,22011,22011960500,5099,3928,9,31,18,40,80,9,11,8,80,87,64,9,19,59,27,14,22,38,28,81,19,37,15,36,4,14,8,6,18,17,5,10,37,POINT (-93.3304186 30.8505268)
LA,Louisiana,Beauregard,22011,22011960600,3119,2345,9,35,18,42,81,9,11,9,79,86,64,11,23,55,30,15,25,40,31,76,21,38,17,36,5,18,10,7,20,20,6,11,41,POINT (-93.5784503 30.6001941)
LA,Louisiana,Beauregard,22011,22011960701,4253,3081,8,29,21,35,77,8,10,7,78,86,63,8,19,62,30,12,18,36,26,78,20,36,14,35,3,12,7,5,17,14,4,9,34,POINT (-93.2468375 30.4559671)
LA,Louisiana,Beauregard,22011,22011960702,5709,4304,10,28,21,36,75,7,10,7,77,84,63,8,21,56,29,12,21,35,27,76,21,37,15,37,4,16,8,6,20,15,4,10,37,POINT (-93.3443917 30.5859675)
LA,Louisiana,Bienville,22013,22013970100,3330,2645,12,38,12,53,85,8,12,11,85,86,64,13,25,44,25,23,35,40,43,78,22,49,21,46,8,32,10,13,23,29,10,17,51,POINT (-92.9276071 32.5539909)
